term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,BIOL,208,BIOL 208,HUMAN ANATOMY,4,,06A,3968,Spring_2026|BIOL 208|06A|3968,FALSE,\N,"12,27",LAB,W,9-11:45AM,,MLSC-134,Flores K,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,208,BIOL 208,HUMAN ANATOMY,4,,13A,9505,Spring_2026|BIOL 208|13A|9505,FALSE,\N,"12,27",LAB,F,1-3:45PM,available,MLSC-134,Carrion B,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,208,BIOL 208,HUMAN ANATOMY,4,,16A,12443,Spring_2026|BIOL 208|16A|12443,FALSE,\N,,LAB,W,7-9:45PM,,MLSC-134,Huynhle M,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),01A,6168,Spring_2026|BIOL 211|01A|6168,FALSE,\N,"1,27",LEC,TuTh,12:30-1:45PM,,LH-151,Perlman B,"Class instruction is: Hybrid (Face to Face & Synch).Seats are reserved for the following majors: BIOL (all options), ES P, KIN, BIOCHEM, BME, and Undeclared subplans for Biology and Chemistry interest. Reserved seating expires December 1, 2025.Seats are reserved for CNSM majors and pre-majors. Reserved seating will expire on January 13, 2026."
Spring_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),01A,\N,Spring_2026|BIOL 211|01A|NOCLASS|10367ad2d247de61,FALSE,\N,,,TuTh,12:30-1:45PM,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),02A,6169,Spring_2026|BIOL 211|02A|6169,FALSE,\N,"12,27",LAB,Tu,7-9:45PM,,MLSC-104,Luongo S,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),03A,6170,Spring_2026|BIOL 211|03A|6170,FALSE,\N,"12,27",SEM,Tu,6-6:50PM,,MLSC-104,Luongo S,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,211L,BIOL 211L,INTRO EVOLUTION/DIVERSITY LAB,1,GE: 5C/5B (B3/B2),01,5175,Spring_2026|BIOL 211L|01|5175,FALSE,\N,"1,12,27,285",LAB,Tu,7-9:45PM,,MLSC-104,Luongo S,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,BIOL,212,BIOL 212,INTRO CELL MOLECULAR BIOL,4,,01A,4141,Spring_2026|BIOL 212|01A|4141,FALSE,\N,"1,27",LEC,TuTh,3:30-4:45PM,,LH-151,Cabrera I,"Class instruction is: Face to Face - On Campus.Seats are reserved for the following majors: BIOL (all options), ES P, KIN, BIOCHEM, and BME. Reserved seating expires December 1, 2025.Seats are reserved for CNSM majors and pre-majors. Reserved seating will expire on January 13, 2026."
Spring_2026,BIOL,212,BIOL 212,INTRO CELL MOLECULAR BIOL,4,,02A,4142,Spring_2026|BIOL 212|02A|4142,FALSE,\N,"12,27",LAB,Tu,9-11:45AM,,MLSC-102,Padron E,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,212,BIOL 212,INTRO CELL MOLECULAR BIOL,4,,03A,9601,Spring_2026|BIOL 212|03A|9601,FALSE,\N,"12,27",LAB,M,5-7:45PM,,MLSC-102,Lee Y,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,212,BIOL 212,INTRO CELL MOLECULAR BIOL,4,,04A,4146,Spring_2026|BIOL 212|04A|4146,FALSE,\N,"12,27",LAB,Tu,5-7:45PM,,MLSC-102,Saleh A,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,212,BIOL 212,INTRO CELL MOLECULAR BIOL,4,,05A,4143,Spring_2026|BIOL 212|05A|4143,FALSE,\N,"12,27",LAB,W,1-3:45PM,,MLSC-102,Moeller C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,212,BIOL 212,INTRO CELL MOLECULAR BIOL,4,,06A,4147,Spring_2026|BIOL 212|06A|4147,FALSE,\N,"12,27",LAB,W,5-7:45PM,available,MLSC-102,Moeller C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,212,BIOL 212,INTRO CELL MOLECULAR BIOL,4,,07A,4144,Spring_2026|BIOL 212|07A|4144,FALSE,\N,"12,27",LAB,Th,9-11:45AM,,MLSC-102,Padron E,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,212,BIOL 212,INTRO CELL MOLECULAR BIOL,4,,13A,9276,Spring_2026|BIOL 212|13A|9276,FALSE,\N,"12,27",LAB,F,9-11:45AM,available,MLSC-102,Kuhlmann A,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,212L,BIOL 212L,INTRO CELL/MOLECULAR BIOL LA,1,,01,2868,Spring_2026|BIOL 212L|01|2868,FALSE,\N,"1,12,27,286",LAB,W,1-3:45PM,,MLSC-102,Moeller C,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,01,2710,Spring_2026|BIOL 213|01|2710,FALSE,\N,"1,27",LEC,TuTh,2-3:15PM,available,HSCI-100,Darjany L,"Class instruction is: Face to Face - On Campus.Seats are reserved for the following majors: BIOL (all options) and ES P. Reserved seating expires December 1, 2025."
Spring_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,03,2817,Spring_2026|BIOL 213|03|2817,FALSE,\N,"12,27",LAB,Tu,9-11:45AM,,MLSC-110,Le D,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,04,2869,Spring_2026|BIOL 213|04|2869,FALSE,\N,"12,27",LAB,W,9-11:45AM,,MLSC-110,Faulkner L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,05,2871,Spring_2026|BIOL 213|05|2871,FALSE,\N,"12,27",LAB,W,2-4:45PM,,MLSC-110,Craig C,Class instruction is: Face to Face - On Campus.
