term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CRJU,424,CRJU 424,SUCCESSFUL REENTRY THRY & PRAC,3,,01,12409,Spring_2026|CRJU 424|01|12409,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Madrigal A,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,430,CRJU 430,CRIMINAL EVIDENCE AND TRIALS,3,,01,7430,Spring_2026|CRJU 430|01|7430,FALSE,\N,,SEM,TuTh,2-3:15PM,,HHS1-104,Guluzian K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,440,CRJU 440,CRIMINALISTICS: FORNSC SCI LAB,3,,01,7997,Spring_2026|CRJU 440|01|7997,FALSE,\N,279,LEC,Tu,9:30-12:15PM,,SSC-045,Guluzian K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,440,CRJU 440,CRIMINALISTICS: FORNSC SCI LAB,3,,02,8460,Spring_2026|CRJU 440|02|8460,FALSE,\N,,LEC,W,8-10:45AM,,SSC-045,Guluzian K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,442,CRJU 442,FORENSIC PSYCHOLOGY,3,,01,4272,Spring_2026|CRJU 442|01|4272,FALSE,\N,279,LEC,MW,11-12:15PM,,HHS1-204,Schug R,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,443,CRJU 443,FORENSIC PATHOLOGY,3,,01,8468,Spring_2026|CRJU 443|01|8468,FALSE,\N,,LEC,Th,7-9:45PM,,HHS1-105,Elias B,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,444,CRJU 444,FORENSIC PHOTOGRAPHY,3,,01,10118,Spring_2026|CRJU 444|01|10118,FALSE,\N,,LEC,W,11-1:45PM,,SSC-045,Guluzian K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,450,CRJU 450,DOMESTIC VIOLENCE/CRIM JUS SYS,3,,01,9558,Spring_2026|CRJU 450|01|9558,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Magana E,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,460,CRJU 460,INTRO TO CRIME ANALYSIS,3,,01,6049,Spring_2026|CRJU 460|01|6049,FALSE,\N,"279,307",LEC,M,1-2:15PM,,ET-109,Ku Mazzeo E,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CRJU,460,CRJU 460,INTRO TO CRIME ANALYSIS,3,,01,\N,Spring_2026|CRJU 460|01|NOCLASS|1a275b6f193364da,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CRJU,462,CRJU 462,CRIME MAPPING,3,,01,10096,Spring_2026|CRJU 462|01|10096,FALSE,\N,279,LEC,Th,4-6:45PM,available,ET-109,Martin K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,463,CRJU 463,INTELLIGENCE ANALYSIS,3,,01,10097,Spring_2026|CRJU 463|01|10097,FALSE,\N,"279,307",LEC,M,5-6:15PM,available,HHS1-204,Preciado V,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CRJU,463,CRJU 463,INTELLIGENCE ANALYSIS,3,,01,\N,Spring_2026|CRJU 463|01|NOCLASS|b7a34fe0da98a936,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CRJU,490,CRJU 490,S TOPICS CRIMINAL JUSTICE,3,,01,7525,Spring_2026|CRJU 490|01|7525,FALSE,\N,"279,9",LEC,TuTh,3:30-4:45PM,,ET-107,Nash B,"Media, Crime and the CJ SystemClass instruction is: Face to Face - On Campus."
Spring_2026,CRJU,490,CRJU 490,S TOPICS CRIMINAL JUSTICE,3,,02,10551,Spring_2026|CRJU 490|02|10551,FALSE,\N,9,LEC,NA,NA,,ONLINE-ONLY,Kiltz L,CybersecurityClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,493,CRJU 493,INTERNSHIP,3,,01,6082,Spring_2026|CRJU 493|01|6082,FALSE,\N,"3,308",SEM,NA,NA,,OFF-CAMP,Martin K,Department Consent RequiredClass instruction is: Face to Face - Off Campus.
Spring_2026,CRJU,493,CRJU 493,INTERNSHIP,3,,02,6385,Spring_2026|CRJU 493|02|6385,FALSE,\N,"3,308",SEM,NA,NA,,OFF-CAMP,Chavez E,Department Consent RequiredClass instruction is: Face to Face - Off Campus.
Spring_2026,CRJU,493,CRJU 493,INTERNSHIP,3,,03,6386,Spring_2026|CRJU 493|03|6386,FALSE,\N,"3,308",SEM,NA,NA,,OFF-CAMP,Tolbert T,Department Consent RequiredClass instruction is: Face to Face - Off Campus.
Spring_2026,CRJU,493,CRJU 493,INTERNSHIP,3,,04,6387,Spring_2026|CRJU 493|04|6387,FALSE,\N,"3,308",SEM,NA,NA,available,OFF-CAMP,Morgan S,Department Consent RequiredClass instruction is: Face to Face - Off Campus.
Spring_2026,CRJU,493,CRJU 493,INTERNSHIP,3,,05,6593,Spring_2026|CRJU 493|05|6593,FALSE,\N,"3,308",SEM,NA,NA,,OFF-CAMP,Choi A,Department Consent RequiredClass instruction is: Face to Face - Off Campus.
Spring_2026,CRJU,493,CRJU 493,INTERNSHIP,3,,06,6608,Spring_2026|CRJU 493|06|6608,FALSE,\N,"3,308",SEM,NA,NA,,OFF-CAMP,Van Brakle M,Department Consent RequiredClass instruction is: Face to Face - Off Campus.
